Rank,University,Town
1595,Franciscan Missionaries of Our Lady University,Baton Rouge
1596,Trinity College of Florida,Trinity
1597,Allen College,Waterloo
1598,Dominican School of Philosophy & Theology,Berkeley
1599,University of Alaska Southeast,Juneau
1600,Bryn Athyn College,Bryn Athyn
1601,The Wright Institute,Berkeley
1602,Thomas University,Thomasville
1603,Boston Graduate School of Psychoanalysis,Brookline
1604,Arkansas Baptist College,Little Rock
1605,Salem University,Salem
1606,American Baptist College,Nashville
1607,Carolina University,Winston Salem
1608,Labouré College,Milton
1609,Trocaire College,Buffalo
1610,Mercy College of Ohio,Toledo
1611,Sofia University,Palo Alto
1612,Gratz College,Melrose Park
1613,Central Baptist College,Conway
1614,Welch College,Gallatin
1615,John Paul the Great Catholic University,Escondido
1616,Adler Graduate School,Minnetonka
1617,Rocky Mountain University of Health Professions,Provo
1618,Appalachian Bible College,Mount Hope
1619,San Diego Christian College,Santee
1620,The City College of New York,New York City
1621,Point University,West Point
1622,University of the Southwest,Hobbs
1623,Saint Augustine College,Chicago
1624,Kentucky Christian University,Grayson
1625,Pardee RAND Graduate School,Santa Monica
1626,Massachusetts School of Law,Andover
1627,United States University,San Diego
1628,Emmanuel University,Franklin Springs
1629,Donnelly College,Kansas City
1630,Thomas More College of Liberal Arts,Merrimack
1631,Five Towns College,Dix Hills
1632,Life Pacific University,San Dimas
1633,Grace Christian University,Wyoming
1634,The King's University,Southlake
1635,Atlanta Metropolitan State College,Atlanta
1636,Baptist Health Sciences University,Memphis
1637,Martin University,Indianapolis
1638,Bay State College,Boston
1639,VanderCook College of Music,Chicago
1640,Cox College,Springfield
1641,Michigan School of Psychology,Farmington Hills
1642,Calvary University,Kansas City
1643,East-West University,Chicago
1644,Central Christian College of the Bible,Moberly
1645,Criswell College,Dallas
1646,Bryan College of Health Sciences,Lincoln
1647,Maria College,Albany
1648,Kuyper College,Grand Rapids
1649,The College of Westchester,White Plains
1650,Blue Mountain Christian University,Blue Mountain
1651,Appalachian College of Pharmacy,Oakwood
1652,College of Biblical Studies,Houston
1653,Oak Hills Christian College,Bemidji
1654,Pontifical Faculty of the Immaculate Conception,Washington
1655,Davis College,Johnson City
1656,San Joaquin College of Law,Clovis
1657,"Queens College, City University of New York",New York City
1658,Great Lakes Christian College,Lansing
1659,"Southwestern College, Santa Fe",Santa Fe
1660,"Aquinas College, Tennessee",Nashville
1661,Dharma Realm Buddhist University,Ukiah
1662,John Jay College of Criminal Justice,New York City
1663,American Film Institute Conservatory,Los Angeles
1664,God's Bible School and College,Cincinnati
1665,Alaska Bible College,Palmer
1666,Lakeview College of Nursing,Danville
1667,Conway School of Landscape Design,Northampton
1668,Clear Creek Baptist Bible College,Pineville
1669,Mid-Atlantic Christian University,Elizabeth City
1670,Goldfarb School of Nursing at Barnes-Jewish College,St. Louis
1671,Heritage Christian University,Florence
1672,Cabarrus College of Health Sciences,Concord
1673,"New York City College of Technology, CUNY",Brooklyn
1674,Jamestown Business College,Jamestown
1675,Bellin College,Green Bay
1676,Southwestern Christian University,Bethany
1677,Arlington Baptist University,Arlington
1678,Trinity Bible College,Ellendale
1679,Lake Forest Graduate School of Management,Lake Forest
1680,Mission University,Springfield
1681,Plaza College,New York City
1682,University of Alaska Anchorage,Anchorage
1683,Indiana University Fort Wayne,Fort Wayne
1684,Boise Bible College,Boise
1685,Beulah Heights University,Atlanta
1686,Pillar College,Newark
1687,WON Institute of Graduate Studies,Warminster
1688,Methodist College,Peoria
1689,The University of West Los Angeles,Inglewood
1690,Boricua College,New York City
1691,Richmont Graduate University,Chattanooga
1692,Denver College of Nursing,Denver
1693,Westfield State University,Westfield
1694,Northpoint Bible College,Haverhill
1695,Ecclesia College,Springdale
1696,Trinity College of Nursing & Health Sciences,Rock Island
1697,New Hope Christian College,Eugene
1698,Research College of Nursing,Kansas City
1699,Wade College,Dallas
1700,"York College, City University of New York",Jamaica
1701,Crowley's Ridge College,Paragould
1702,Helene Fuld College of Nursing,New York City
1703,Florida Memorial University,Miami Gardens
1704,Middle Tennessee School of Anesthesia,Madison
1705,St. Louis Christian College,Florissant
1706,Providence Christian College,Pasadena
1707,Irell and Manella Graduate School of Biological Sciences,Duarte
1708,Baptist University of the Americas,San Antonio
1709,Good Samaritan College of Nursing and Health Science,Cincinnati
1710,Wisconsin School of Professional Psychology,Milwaukee
1711,Bethesda University,Anaheim
1712,Southeastern Baptist College,Laurel
1713,University of Maine at Farmington,Farmington
1714,Tri-State Bible College,South Point
1715,Rush University,Chicago
1716,College of Staten Island,Staten Island
1717,CUNY School of Law,Long Island City
1718,Medgar Evers College,Brooklyn
-1,Antioch University Los Angeles,Culver City
-1,Antioch University New England,Keene
-1,Antioch University Santa Barbara,Santa Barbara
-1,Antioch University Seattle,Seattle
-1,Geisinger College of Health Sciences,Scranton
-1,Ohio University Southern,Ironton
-1,Ohio University-Chillicothe,Chillicothe
-1,Saint Anthony College of Nursing,Rockford
-1,Saint Francis Medical Center College of Nursing,Peoria
